OBJECTID,Timestamp_,Station,District,Latitude,Longitude,Freeway,Direction_of_Travel,Lane_Type,Station_Length,Samples,F__Observed,Total_Flow,Avg_Occupancy,Avg_Speed,Lane_N_Samples,Lane_N_Flow,Lane_N_Avg_Occ,Lane_N_Avg_Speed,Lane_N_Observed,x,y
25,3/29/2020 0:00:00,400237,4,37.210372000000000,-121.723483000000002,101,N,ML,0.565000000000000,40,100,55,0.010700000000000,67.799999999999997,10,4,0.003100000000000,74.500000000000000,1,613264.495000000111759,4118988.996899999678135
26,3/29/2020 0:00:00,400238,4,37.413255999999997,-121.912323999999998,880,S,ML,0.550000000000000,40,100,51,0.007300000000000,68.200000000000003,10,6,0.003100000000000,74.700000000000003,1,596253.923700000159442,4141281.698300000280142
27,3/29/2020 0:00:00,400240,4,37.258184000000000,-121.953852999999995,17,N,ML,0.535000000000000,20,67,34,0.009800000000000,68.099999999999994,0,13,0.015100000000000,67.299999999999997,0,592771.479299999773502,4124040.490399999544024
28,3/29/2020 0:00:00,400242,4,37.824311000000002,-122.291456999999994,880,S,ML,0.150000000000000,40,100,55,0.009500000000000,69.799999999999997,10,15,0.009900000000000,74.799999999999997,1,562362.172699999995530,4186555.831299999728799
29,3/29/2020 0:00:00,400246,4,37.386550999999997,-121.979461999999998,101,N,ML,0.310000000000000,40,100,74,0.011200000000000,67.900000000000006,10,10,0.005000000000000,74.799999999999997,1,590339.247200000099838,4138235.726800000295043
30,3/29/2020 0:00:00,400248,4,37.546914999999998,-122.023162999999997,880,S,ML,0.610000000000000,40,100,60,0.011400000000000,67.000000000000000,10,2,0.001500000000000,74.700000000000003,1,586285.930399999953806,4155990.602099999785423
31,3/29/2020 0:00:00,400249,4,37.506892000000001,-121.966671000000005,880,N,ML,0.405000000000000,40,100,53,0.009100000000000,67.299999999999997,10,2,0.001100000000000,74.900000000000006,1,591327.416899999603629,4151608.503900000825524
32,3/29/2020 0:00:00,400251,4,37.893155999999998,-122.123812000000001,24,E,ML,0.490000000000000,40,0,28,0.014400000000000,65.000000000000000,10,8,0.014300000000000,70.400000000000006,0,577040.926599999889731,4194319.772199999541044
33,3/29/2020 0:00:00,400252,4,37.687544000000003,-122.133224999999996,880,N,ML,0.430000000000000,38,100,58,0.010700000000000,68.200000000000003,10,8,0.004200000000000,74.900000000000006,1,576425.795199999585748,4171517.730000000447035
34,3/29/2020 0:00:00,400253,4,37.342956999999998,-121.925720999999996,880,S,ML,0.305000000000000,30,67,63,0.016300000000000,65.000000000000000,10,3,0.001600000000000,71.900000000000006,1,595154.344800000078976,4133473.988900000229478
35,3/29/2020 0:00:00,400255,4,37.727662000000002,-122.402598999999995,101,N,ML,0.400000000000000,49,100,111,0.017300000000000,71.000000000000000,10,17,0.010000000000000,76.599999999999994,1,552643.594899999909103,4175774.417300000786781
36,3/29/2020 0:00:00,400257,4,37.291715000000003,-121.871798999999996,87,S,ML,0.270000000000000,30,100,45,0.008900000000000,66.299999999999997,10,0,0.000000000000000,71.799999999999997,1,599996.298200000077486,4127828.012700000777841
37,3/29/2020 0:00:00,400258,4,37.313462000000001,-121.886196999999996,87,N,ML,0.450000000000000,29,100,72,0.016500000000000,66.099999999999994,10,9,0.005100000000000,71.900000000000006,1,598701.842199999839067,4130230.435699999332428
38,3/29/2020 0:00:00,400260,4,37.706584999999997,-122.394454999999994,101,N,ML,0.333000000000000,40,100,74,0.013500000000000,68.299999999999997,10,10,0.006400000000000,74.700000000000003,1,553379.383899999782443,4173449.565999999642372
39,3/29/2020 0:00:00,400261,4,37.805061000000002,-122.234851000000006,580,E,ML,0.607000000000000,40,0,138,0.029000000000000,67.799999999999997,10,29,0.020600000000000,73.500000000000000,0,567359.055100000463426,4184468.725700000301003
40,3/29/2020 0:00:00,400263,4,37.573664999999998,-122.317153000000005,101,S,ML,0.190000000000000,49,100,78,0.009300000000000,71.000000000000000,10,6,0.003400000000000,76.799999999999997,1,560303.357499999925494,4158740.941700000315905
41,3/29/2020 0:00:00,400264,4,37.413854999999998,-122.082577999999998,101,S,ML,0.440000000000000,40,100,45,0.008500000000000,65.200000000000003,10,1,0.000600000000000,74.799999999999997,1,581183.561900000087917,4141182.417700000107288
42,3/29/2020 0:00:00,400265,4,38.070185000000002,-122.126360000000005,680,S,ML,0.485000000000000,20,100,0,0.000000000000000,67.799999999999997,10,0,0.000000000000000,71.000000000000000,1,576636.384700000286102,4213977.259400000795722
43,3/29/2020 0:00:00,400268,4,37.255651000000000,-121.858078000000006,85,N,ML,0.600000000000000,30,100,44,0.008700000000000,66.099999999999994,10,3,0.001600000000000,72.000000000000000,1,601261.807900000363588,4123847.437500000000000
44,3/29/2020 0:00:00,400270,4,38.022117999999999,-121.962342000000007,4,E,ML,0.350000000000000,40,0,144,0.015700000000000,66.000000000000000,10,29,0.010700000000000,71.000000000000000,0,591081.728199999779463,4208775.119899999350309
45,3/29/2020 0:00:00,400272,4,37.546868000000003,-122.290231000000006,101,S,ML,0.300000000000000,40,100,91,0.013500000000000,68.099999999999994,10,4,0.001800000000000,74.799999999999997,1,562697.325199999846518,4155779.010800000280142
46,3/29/2020 0:00:00,400274,4,37.409627000000000,-121.997252000000003,237,W,ML,0.590000000000000,30,100,53,0.012800000000000,68.000000000000000,10,21,0.018500000000000,70.299999999999997,1,588744.867499999701977,4140798.890200000256300
47,3/29/2020 0:00:00,400275,4,37.667821000000004,-122.108348000000007,880,N,ML,0.345000000000000,50,80,91,0.012000000000000,68.700000000000003,10,4,0.002000000000000,76.599999999999994,1,578642.333499999716878,4169344.262900000438094
48,3/29/2020 0:00:00,400276,4,37.628970000000002,-122.432884999999999,280,N,ML,1.669000000000000,30,67,26,0.008500000000000,66.000000000000000,10,3,0.004800000000000,67.700000000000003,0,550047.430900000035763,4164814.805500000715256
49,3/29/2020 0:00:00,400278,4,37.266561000000003,-121.948691999999994,17,S,ML,1.420000000000000,30,100,30,0.004900000000000,67.799999999999997,10,4,0.001900000000000,71.900000000000006,1,593221.458399999886751,4124952.961799999698997
50,3/29/2020 0:00:00,400280,4,37.261980000000001,-121.858479000000003,87,N,ML,0.475000000000000,20,100,25,0.008000000000000,68.900000000000006,10,15,0.010900000000000,71.299999999999997,1,601226.166500000283122,4124558.117200000211596
51,3/29/2020 0:00:00,400283,4,38.053730999999999,-122.530647999999999,101,N,ML,0.280000000000000,40,100,76,0.012700000000000,67.799999999999997,10,4,0.002200000000000,75.000000000000000,1,541182.811200000345707,4211878.925300000235438
52,3/29/2020 0:00:00,400284,4,37.630267000000003,-122.083308000000002,880,N,ML,0.425000000000000,40,0,243,0.037900000000000,68.400000000000006,10,51,0.026900000000000,74.200000000000003,0,580884.737800000235438,4165194.070299999788404
53,3/29/2020 0:00:00,400287,4,38.116567000000003,-122.106057000000007,680,N,ML,2.020000000000000,20,0,44,0.019000000000000,64.200000000000003,10,22,0.015500000000000,68.599999999999994,0,578358.932799999602139,4219141.052999999374151
54,3/29/2020 0:00:00,400289,4,37.896273999999998,-122.107979000000000,24,W,ML,0.325000000000000,50,0,90,0.016900000000000,66.500000000000000,10,15,0.017700000000000,72.500000000000000,0,578432.887699999846518,4194685.144999999552965
55,3/29/2020 0:00:00,400291,4,37.546976000000001,-122.290031999999997,101,N,ML,0.230000000000000,50,100,105,0.016100000000000,69.200000000000003,10,2,0.001000000000000,76.400000000000006,1,562718.687099999748170,4155806.260099999606609
56,3/29/2020 0:00:00,400292,4,37.316378000000000,-121.972052000000005,280,S,ML,1.140000000000000,40,100,51,0.008400000000000,67.299999999999997,10,2,0.001200000000000,74.900000000000006,1,591088.334699999541044,4130482.777400000020862
