OBJECTID,DATETIME_,ORIG_FID,LINEARID,FULLNAME,RTTYP,MTFCC,Lat,Lon,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure,x,y,x_new,y_new
290,39:57.7,712,1.10E+12,Mission Blvd,M,S1200,37.62245833,-122.0386975,39,39,64,64,0.5,FALSE,584830.5633,4164366.678,107.1701207,-7470.143345
291,39:58.2,713,1.10E+11,Niles Blvd,M,S1200,37.59454963,-121.8991578,71,71,98,98,0.5,FALSE,597185.4863,4161393.742,60.61055694,-35498.42151
292,39:58.5,718,1.10E+12,Sinclair Fwy,M,S1100,37.64496985,-121.8894117,108,108,51,51,0.939999998,FALSE,597975.803,4167017.708,-97.69538018,-49496.28022
293,39:58.9,718,1.10E+12,Sinclair Fwy,M,S1100,37.56875773,-121.895184,111,111,64,64,0.839999974,FALSE,597563.7132,4158560.399,-9.59392889,-28964.27612
294,39:59.3,718,1.10E+12,Sinclair Fwy,M,S1100,37.50481699,-121.9337664,106,106,43,43,0.949999988,FALSE,594237.6615,4151417.478,-78.86540053,-2804.608006
295,39:59.7,719,1.10E+12,Sinclair Fwy,M,S1100,37.64506675,-121.8892205,114,114,47,47,0.879999995,FALSE,597991.9571,4167017.9,64.34229086,4796.022577
296,40:00.2,719,1.10E+12,Sinclair Fwy,M,S1100,37.56874763,-121.8947791,112,112,55,55,0.939999998,FALSE,597601.6836,4158540.527,-42.23966302,43195.52868
297,40:00.6,719,1.10E+12,Sinclair Fwy,M,S1100,37.50426157,-121.9328515,113,113,46,46,0.930000007,FALSE,594324.7463,4151350.739,-11.09225681,-47631.27046
298,40:01.0,733,1.11E+12,I- 680,I,S1100,37.97124814,-122.0604632,112,112,17,17,0.939999998,FALSE,582518.6985,4203049.029,35.21284264,-28840.35532
299,40:01.4,733,1.11E+12,I- 680,I,S1100,37.88987746,-122.0589631,114,114,21,21,0.939999998,FALSE,582749.3062,4194016.424,-13.33955279,89643.5238
300,40:01.8,733,1.11E+12,I- 680,I,S1100,37.82374214,-121.9941435,116,116,18,18,0.939999998,FALSE,588528.0753,4186734.978,3.587912969,-27334.37843
301,40:02.2,733,1.11E+12,I- 680,I,S1100,37.73970144,-121.9525103,117,117,54,54,0.939999998,FALSE,592290.6886,4177450.121,17.28906618,76085.42551
302,40:02.6,735,1.10E+12,John T Knox Fwy,M,S1100,37.90847145,-122.3210386,110,110,43,43,0.930000007,FALSE,559688.9699,4195881.764,-7.003279008,-9887.791406
303,40:03.0,743,1.10E+12,Redwood Hwy,M,S1200,37.90270092,-122.5155863,47,47,13,13,0.5,FALSE,542592.6424,4195131.754,17.76529193,117372.8943
304,40:03.4,743,1.10E+12,Redwood Hwy,M,S1200,37.98574174,-122.5243541,103,103,71,71,0.860000014,FALSE,541772.9416,4204337.657,-26.22568781,71924.85016
305,40:03.8,743,1.10E+12,Redwood Hwy,M,S1200,38.06970332,-122.5387339,111,111,59,59,0.949999988,FALSE,540461.8082,4213649.65,-0.271530374,16223.45168
306,40:04.2,743,1.10E+12,Redwood Hwy,M,S1200,38.15450234,-122.5678035,109,109,59,59,0.949999988,FALSE,537864.3055,4223043.894,9.63697749,-158394.491
307,40:04.6,752,1.11E+11,Saint Helena Hwy,M,S1200,38.38233418,-122.3472957,99,99,20,20,0.879999995,FALSE,557006.5208,4248438.239,1.329110298,45311.20947
308,40:05.0,753,1.10E+12,Monticello Rd,M,S1200,38.36326756,-122.2019742,51,51,165,165,0.5,FALSE,569722.9571,4246425.026,-4.225642549,124231.7772
309,40:05.4,753,1.10E+12,Monticello Rd,M,S1200,38.44222336,-122.2014884,59,59,93,93,0.5,FALSE,569684.349,4255195.86,7.80377378,195664.455
310,40:05.8,768,1.10E+12,State Rte 1,S,S1200,37.52512017,-122.5110808,81,81,40,40,0.949999988,FALSE,543197.6718,4153237.195,5.143471804,-56297.04436
311,40:06.2,770,1.10E+12,Cabrillo Hwy,M,S1200,37.16772901,-122.3615405,99,99,71,71,0.5,FALSE,556684.3434,4113670.228,2.475381441,23555.58832
312,40:06.6,770,1.10E+12,Cabrillo Hwy,M,S1200,37.23635416,-122.4153626,96,96,72,72,0.5,FALSE,551863.417,4121250.219,-0.455673237,-29984.58239
313,40:07.0,770,1.10E+12,Cabrillo Hwy,M,S1200,37.3271179,-122.3980801,86,86,57,57,0.5,FALSE,553331.4661,4131328.672,-6.647675063,40958.40987
314,40:07.4,770,1.10E+12,Cabrillo Hwy,M,S1200,37.40540284,-122.4205347,96,96,69,69,0.5,FALSE,551293.5314,4140017.436,-3.003347319,-8050.335012
315,40:07.8,775,1.10E+12,State Rte 82,S,S1200,37.49140288,-122.2412992,44,44,57,57,0.670000017,FALSE,567076.3546,4149671.004,11.86200199,41623.19835
316,40:08.2,783,1.10E+12,State Rte 35,S,S1100,37.59571751,-122.4187642,120,120,30,30,0.930000007,FALSE,551314.4572,4161118.342,-6.143137324,-49241.52506
317,40:08.6,785,1.10E+12,State Rte 1,S,S1200,37.67144219,-122.4760304,100,100,14,14,0.949999988,FALSE,546208.0893,4169498.931,-0.188253693,-121548.0693
318,40:09.0,786,1.10E+12,Cabrillo Hwy,M,S1200,37.60907875,-122.4948498,71,71,52,52,0.959999979,FALSE,544587.5161,4162569.225,-7.909906961,-61086.36368
319,40:09.4,792,1.10E+12,I- 280,I,S1100,37.35931728,-122.1191202,113,113,27,27,0.790000021,FALSE,578010.1223,4135097.911,0.120260652,8896.339886
320,40:09.8,792,1.10E+12,I- 280,I,S1100,37.33424,-122.0327045,116,116,22,22,0.829999983,FALSE,585686.9094,4132396.464,-7.988349462,-54679.94082
321,40:10.2,792,1.10E+12,I- 280,I,S1100,37.31714949,-121.9415652,110,110,25,25,0.920000017,FALSE,593780.9927,4130573.452,12.97860194,-55752.17792
322,40:10.6,792,1.10E+12,I- 280,I,S1100,37.33888691,-121.8528653,109,109,10,10,0.899999976,FALSE,601620.6372,4133089.505,7.354776716,-25698.95727
323,40:11.0,804,1.11E+11,I- 780,I,S1100,38.08916537,-122.2222568,104,104,68,68,0.930000007,FALSE,568202.6736,4216008.623,0.741968412,-43410.64876
324,40:11.4,809,1.10E+12,Redwood Hwy,M,S1200,38.39552662,-122.716239,111,111,62,62,0.930000007,FALSE,524782.5009,4249737.587,1.389733981,-15948.54695
