OBJECTID,DATETIME_,ORIG_FID,LINEARID,FULLNAME,RTTYP,MTFCC,Lat,Lon,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure,x,y
86,38:36.1,170,1105080000000.000000000000000,I- 580,I,S1100,37.700641470000001,-121.796512800000002,115,115,50,50,0.959999979000000,FALSE,606092.152900000102818,4173288.081900000572205
87,38:36.5,170,1105080000000.000000000000000,I- 580,I,S1100,37.716842380000003,-121.704577299999997,117,117,51,51,0.910000026000000,FALSE,614170.657599999569356,4175197.538300000131130
88,38:36.9,170,1105080000000.000000000000000,I- 580,I,S1100,37.734461500000002,-121.614573100000001,108,108,59,59,0.949999988000000,FALSE,622082.129700000397861,4177261.586999999359250
89,38:37.3,171,1104490000000.000000000000000,Macarthur Fwy,M,S1100,37.797247919999997,-122.213190900000001,109,109,43,43,0.949999988000000,FALSE,569268.392599999904633,4183617.712999999523163
90,38:37.7,171,1104490000000.000000000000000,Macarthur Fwy,M,S1100,37.745066540000003,-122.148879600000001,114,114,45,45,0.939999998000000,FALSE,574990.207399999722838,4177877.403899999335408
91,38:38.1,172,1104490000000.000000000000000,Arthur H Breed Fwy,M,S1100,37.702787700000002,-122.014701799999997,111,111,57,57,0.949999988000000,FALSE,586853.651700000278652,4173307.152000000700355
92,38:38.5,172,1104490000000.000000000000000,Arthur H Breed Fwy,M,S1100,37.701262450000002,-121.920823200000001,103,103,44,44,0.970000029000000,FALSE,595136.261300000362098,4173222.327999999746680
93,38:38.9,172,1104490000000.000000000000000,Arthur H Breed Fwy,M,S1100,37.700918760000000,-121.825744099999994,114,114,41,41,0.949999988000000,FALSE,603519.826299999840558,4173282.527899999171495
94,38:39.3,172,1104490000000.000000000000000,Arthur H Breed Fwy,M,S1100,37.705625879999999,-121.731559799999999,115,115,26,26,0.930000007000000,FALSE,611815.131500000134110,4173918.999900000169873
95,38:39.7,192,1104690000000.000000000000000,Redwood Hwy,M,S1200,37.995115810000001,-122.533069200000000,108,108,68,68,0.949999988000000,FALSE,540995.897900000214577,4205376.641000000759959
96,38:40.1,192,1104690000000.000000000000000,Redwood Hwy,M,S1200,37.914597460000003,-122.511977400000006,106,106,36,36,0.949999988000000,FALSE,542902.279900000430644,4196460.703700000420213
97,38:40.4,192,1104690000000.000000000000000,Redwood Hwy,M,S1200,37.835722740000001,-122.484867100000002,91,91,54,54,0.949999988000000,FALSE,545332.706399999558926,4187710.678300000727177
98,38:40.8,227,1104490000000.000000000000000,Junipero Serra Fwy,M,S1100,37.629814519999996,-122.434338900000000,115,115,26,26,0.939999998000000,FALSE,549912.258500000461936,4164902.024000000208616
99,38:41.2,227,1104490000000.000000000000000,Junipero Serra Fwy,M,S1100,37.559448209999999,-122.382522899999998,114,114,59,59,0.949999988000000,FALSE,554535.984500000253320,4157123.180299999192357
100,38:41.6,227,1104490000000.000000000000000,Junipero Serra Fwy,M,S1100,37.497873020000000,-122.315268000000003,116,116,60,60,0.930000007000000,FALSE,560531.684299999848008,4150331.869000000879169
101,38:42.0,227,1104490000000.000000000000000,Junipero Serra Fwy,M,S1100,37.442594409999998,-122.252790500000003,115,120,36,34,0.920000017000000,FALSE,566094.160400000400841,4144245.590600000694394
102,38:42.4,228,1104490000000.000000000000000,State Rte 92,S,S1200,37.556744530000003,-122.284356099999997,106,106,17,17,0.920000017000000,FALSE,563211.858799999579787,4156893.517899999395013
103,38:42.8,238,1104470000000.000000000000000,el Camino Real,M,S1200,37.659998229999999,-122.441510899999997,48,48,62,62,0.970000029000000,FALSE,549256.800900000147521,4168250.184900000691414
104,38:43.2,243,1104480000000.000000000000000,State Rte 152,S,S1200,37.027551570000000,-121.327654699999997,108,108,50,50,0.949999988000000,FALSE,648756.774699999950826,4099234.179800000041723
105,38:43.6,243,1104480000000.000000000000000,State Rte 152,S,S1200,37.056481380000001,-121.243797700000002,113,113,63,63,0.949999988000000,FALSE,656157.334699999541044,4102585.222100000828505
106,38:44.0,244,1104480000000.000000000000000,Santa Cruz Hwy,M,S1200,37.143934950000002,-121.984738300000004,79,79,14,14,0.959999979000000,FALSE,590168.735999999567866,4111321.153000000864267
107,38:44.4,247,1102410000000.000000000000000,Hecker Pass Hwy,M,S1200,36.997676370000001,-121.686739799999998,66,66,116,116,0.500000000000000,FALSE,616856.918600000441074,4095421.640100000426173
108,38:44.8,248,1104480000000.000000000000000,I- 880,I,S1100,37.398199560000002,-121.908346899999998,113,113,28,28,0.949999988000000,FALSE,596624.296600000001490,4139619.937300000339746
109,38:45.2,249,1104490000000.000000000000000,I- 880,I,S1100,37.363327499999997,-121.902218300000001,100,100,11,11,0.939999998000000,FALSE,597209.762000000104308,4135739.311799999326468
110,38:45.6,250,1104480000000.000000000000000,Bayshore Fwy,M,S1200,37.301795689999999,-121.815213299999996,113,113,12,12,0.949999988000000,FALSE,605002.745299999602139,4129020.269700000062585
111,38:46.0,253,1104490000000.000000000000000,Nimitz Fwy,M,S1100,37.424899170000003,-121.916421000000000,113,113,23,23,0.959999979000000,FALSE,595877.243099999614060,4142564.141100000590086
